"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"1-Jan",0,0,,,0,0,,18.65084,4.949009,0,0,0,0,0,0,9.968431,0,0,0,3.0117,0,0,0,0,0,0,0,8.871319,0,0,0,3.181014,0,0,0,16.61927,0,0,18
"2-Jan",0,0,0,0,0,89.26269,,,24.52477,0,8.525639,0,0,0,0,9.149455,0,0,0,7.659523,21.4973,25.13855,0,0,0,0,0,0,0,0,0,1.702961,0,0,0,0,0,0,9
"3-Jan",0,0,,0,0,5.47624,,,0,0,0,0,0,0,5.193713,35.14254,0,0,0,10.97915,29.89155,12.22725,0,0,14.93513,0,0,9.38367,0,0,5.804355,0,0,0,0,0,0,0,0
"4-Jan",,0,0,0,0,,,12.52002,8.39188,0,0,,3.910654,0,6.091549,,0,0,0,8.761074,0,0,0,0,9.142408,0,0,4.83253,0,0,0,0,0,0,0,0,0,0,0
"5-Jan",,0,0,0,0,0,27.17536,15.88227,0.8944423,0,0,0,0,5.784221,7.485688,0,0,0,0,4.484194,3.065691,0,0,0,0,0,0,3.109087,0,0,0,0,0,0,0,0,0,5.50422,0
"6-Jan",,0,0,0,0,0,0,0,4.931705,0,0,1.551594,1.577161,4.148474,19.31618,0,0,0,0,3.449174,10.44974,0,0,0,46.78131,0,0,0,0,0,0,0,0,0,0,0,0,15.90988,0
"7-Jan",,0,,0,0,4.588607,0,0,25.46842,0,11.74359,0,0,15.34769,0,0,0,0,5.354383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8-Jan",,0,,0,0,12.50067,0,0,0,0,0,7.593,0,4.383352,0,0,10.82154,0,0,12.44096,0,0,0,0,0,0,0,26.34214,0,0,34.98767,6.288167,0,6.332273,0,0,0,0,0
"9-Jan",,7.498613,0,0,0,5.411712,0,0,0,0,0,0,0,0,3.05679,20.09111,1.511374,2.511128,,0,0,0,0,0,0,0,0,0,8.850507,0,19.4136,6.026997,0,3.966808,0,0,0,0,15
"10-Jan",0,8.892889,0,,12.8831,5.70522,1.64227,0,0,0,4.543928,0,15.42395,0,2.263053,37.39406,6.666524,0,0,8.406733,0,0,0,0,0,0,0,5.374496,1.622197,0,3.919119,0,0,10.70643,0,0,0,0,9
"11-Jan",0,,0,0,13.64314,0,0,0,0,0,8.69745,13.71549,5.512175,15.14661,0,2.175447,4.330089,0,15.81832,11.6558,0,0,0,5.289082,0,0,0,0,0,0,0,0,0,4.093964,0,0,0,39.60183,0
"12-Jan",0,5.626619,,0,0,0,0,0,0,0,14.07133,0,0,10.79411,0,4.211088,14.33641,0,36.05511,27.3277,0,0,0,6.152117,13.0556,0,0,0,0,0,4.082941,0,0,1.747767,0,0,0,0,0
"13-Jan",0,4.256747,,0,0,0,0,0,2.893576,0,0,0,0,6.662422,0,2.387333,0,0,5.48744,0,0,7.447362,0,0,4.372938,0,0,0,6.064571,0,0,0,0,0.5802863,0,5.829176,0,0,9
"14-Jan",0,28.38514,0,0,0,0,1.986199,,0,0,20.7951,0,0,0,0,0.366475,2.173136,0,10.79107,1.777743,0,2.223205,0,31.40785,0,10.61253,0,0,0,0,0,0,0,7.241809,0,4.312102,0,0,9
"15-Jan",0,0,0,0,0,2.229342,2.804217,0,0,0,8.048313,0,0,0,0,3.073973,3.694151,0,15.15678,4.279345,0,3.463753,0,7.949888,13.02505,8.218651,0,0,0,0,0,0,0,2.942731,0,18.63563,0,0,9
"16-Jan",,0,,4.801513,13.14545,2.456725,1.17035,0,0,0,3.022807,1.530637,0,0,1.143869,0,5.105845,0,1.802159,3.405255,0,2.815707,0,18,9.994373,5.57037,0,0,0,0,0,0,0,8.24462,0,0,11.81349,2.04178,0
"17-Jan",,0,0,0,0,11.7079,0,0,0,0,0,0,0,2.41192,2.159186,3.755666,0,0,0,2.255006,0,8.104525,0,0,8.972506,0,0,0,0,0,0,0,0,9.558589,0,0,0,0,0
"18-Jan",,0,0,0,0,36.89844,0,0,4.404728,0,0,0,0,0,3.544611,5.298548,12.56883,0,20.8438,2.607625,0,12.94189,0,0,6.423697,0,0,0,0,0,0,0,0,17.92446,0,0,14.17704,1.078862,0
"19-Jan",,0,,8.194296,0,5.237271,0,0,0,0,0,0,0,0,19.08324,2.959445,14.27685,10.67425,0,0,0,2.059956,0,0,0,0,0,0,0,0,0,18.50954,0,5.334993,0,0,0,5.363012,0
"20-Jan",,0,0,9.557426,0,9.635421,0,0,0,0,0,0,0,0,0,7.484642,0,29.49439,19.09496,0,0,0,0,0,3.168072,0,0,0,0,5.142505,0,22.60146,0,4.887812,0,12.78987,0,0,0
"21-Jan",,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,4.957618,15.08056,0,0,0,0,0,4.031039,8.048511,0,4.505621,0,0,0,0,6.758672,9.704433,0,0,0,0,0
"22-Jan",,0,0,,0,0,0,0,,0,1.373296,0,0,1.389146,0,0,4.689249,3.720473,14.7132,6.281204,0,0,0,0,0,0,4.481844,14.55905,0,0,0,0,0,3.77619,0,0,0,0,21
"23-Jan",0,0,6.658406,0,4.184478,7.647524,0,0,,0,0,0,0,0,0.6239028,0,0,0,25.591,0,0,4.83389,0,0,0,0,9.414971,0,0,0,0,0,0,0,0,0,0,0,23
"24-Jan",,0,8.553296,,0,16.52621,0,0,,0,0,0,0,6.199247,0,0,0,0,0,9.873503,0,17.26118,9.754921,0,0,0,2.040791,0,0,0,0,0,0,0,0,0,0,0,15
"25-Jan",,0,7.669597,0,3.361882,0,0,0,,0,3.593033,0,0,4.29158,0,3.043542,0,0,1.969851,5.810191,0,2.957734,11.28593,0,0,2.269047,5.932432,0,0,0,0,0,0,0,0,0,0,10.14292,9
"26-Jan",,0,4.94831,0,10.60041,0,0,0,0,,5.549362,0,,0,0,0,0,0,0,8.24355,0,,2.711689,0,0,29.90198,14.58321,0,0,0,0,0,0,0,0,0,0,5.322171,0
"27-Jan",,0,9.336103,0,0,0.9264178,0,,14.04773,0,5.68469,0,13.50312,0,0,0,0,0,0,0.845475,0,,4.025077,0,0,0,22.32278,0,0,0,0,0,0,0,0,0,0,23.04291,0
"28-Jan",,0,11.89504,0,0,0,0,,40.87112,0,,0,8.235511,5.631474,0,4.455758,0,0,0,0,0,0,17.13594,0,0,2.984659,22.10964,0,0,0,0,0,0,0,0,0,0,9.434752,0
"29-Jan",0,5.264233,36.20914,3.349261,0,0,2.316894,,8.27689,0,0,0,0,0,0.4594951,0,0,0,0,0,0,0.4489326,11.86448,0,1.877799,11.28198,7.066848,0,0,0,4.821245,0,0,0,25.64397,0,0,20.14688,0
"30-Jan",,0,33.35846,0,10.54136,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,2.765566,14.09512,0,1.815435,0,0,0,8.267543,0,0,0,7.444285,0,0,22.79923,0
"31-Jan",,12.30022,0,0,3.687344,0,,0,,5.511342,0,0,0,3.230539,0,0,0,0,0,0,0,9.231462,0.9988746,0,6.075249,2.886657,0,0,0,0,33.69344,0,0,0,19.14301,0,0,0,0
"1-Feb",0,0,4.845892,0,0,9.134706,,0,0,8.971403,0,0,0,0,0,0,0,0,0,0,0,1.328817,7.388094,0,0,0,3.362504,0,6.241574,0,13.20721,0,0,0,14.68583,0,0,0,0
"2-Feb",0,6.564366,4.987077,0,0,23.12774,5.323156,,0,4.049999,2.897431,0,0,5.745367,0,0,0,0,0,0,0,5.124655,0,0,1.50488,0,5.14991,0,4.981822,0,0,0,0,0,0,0,0,0,0
"3-Feb",13.55198,3.162791,0,0,0,0,6.118627,,0,0,0,0,0,3.434457,0,0,0,0,0,0,0,0,0,0,23.50688,0,15.15847,7.289577,2.784488,0,0,6.870722,0,0,0,0,0,13.75653,0
"4-Feb",3.901109,4.100006,9.809901,9.64294,0,0,14.55316,,0,1.37235,3.207844,0,0,33.27713,0,0,0,0,0,0,0,0,0,0,14.08539,0,16.48227,13.00495,0,0,0,3.193351,0,0,11.49661,0,0,7.380891,0
"5-Feb",0,0,,7.98063,0,0,8.380311,,0,3.726722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.212165,0,0,1.633281,0,0,0,5.388752,0,0,0,0,0,23.21292,0
"6-Feb",0,0,11.2,22.93077,0,0,27.05071,,0,0,0,,0,0,0,0,0,0,6.226388,0,0,0,0,0,1.817656,0,5.184123,0,0,0,0,3.087604,0,0,0,0,0,0,0
"7-Feb",0,,0,23.75251,23.67683,0,6.705341,,0,0,0,0,0,13.55838,0,0,0,0,0,0,0,0,0,0,4.046647,12.60444,0,1.919717,0,0,0,3.989419,0,0,0,0,0,0,0
"8-Feb",0,0,0,0,0,0,8.024354,,8.775629,0,0,0,27.78134,17.58925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.385086,0,0,0,0,0,0,0
"9-Feb",0,0,,0,2.396496,0,9.159739,,7.218729,7.189102,13.30008,0,15.95117,0,0,17.08811,0,0,3.759102,0,0,0,0,0,2.477487,2.011518,0,0,0,0,0,6.509499,0,0,0,0,0,0,0
"10-Feb",0,0,0,,0,2.869828,0,,0,0,3.092928,0,0,13.15412,0,5.823134,5.102567,0,0,0,0,0,0,0,7.051356,5.231622,6.643832,0,0,0,0,1.386554,0,0,0,0,0,0,18
"11-Feb",,0,0,0,3.215194,0,0,,0,0,20.41864,7.040437,0,0,0,0,0,0,2.512833,0,0,0,0,0,1.975028,4.917321,0,0,0,0,0,0,4.900324,0,4.582387,0,0,0,9
